modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,Dice_mean,Boundary_IoU_mean,HD95_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
NBI,gas_efd8f104ad0bf30a,test,4,0,4,0,0,0.7725232610348269,0.06000800008771673,42.650995336534905,0.21461811034175834,0.2728907328513812,0.5124911568068604,0.1438606118987857,0.12903012095259547,0.48431641691510635,0.2441558837890625,0.0010016430804043,0.0008667148295717,0.0004535853538827,0.0002683892988416,False,True,False
NBI,gas_f2dbf6021790f01e,test,4,0,4,0,0,0.762313986824928,0.0367742175683081,45.237875434201705,0.7288757766748393,0.27086569178431275,0.0002585315408479835,0.2676135914723693,0.003252100311943496,0.010611185097774558,0.4171295166015625,0.0007202215377725,0.0012835853123087,0.0007423738683327,0.0009028539545589,False,True,False
NBI,gas_95b8d460a2d45039,test,4,0,4,0,0,0.8379435073955851,0.07618514054548835,34.810230744324684,0.26250979732536733,0.2699099141244394,0.4675802885501933,0.1402886211978367,0.1296212929266027,0.4930692022538254,0.48095703125,0.0010485272405975,0.0013924322704062,0.0010528267097117,0.0004708647451917,False,True,False
NBI,gas_a3b11f41a1a994be,test,4,0,4,0,2,0.8499684160143632,0.06465458110958913,32.948448957641205,0.24507792486452099,0.2638904689298473,0.4910316062056317,0.08925935528423323,0.17463111364561407,0.6579750611881843,0.626922607421875,0.000286543701094,0.0004508208313087,0.000351704808953,0.0002602250089902,False,True,False
NBI,gas_637610748c3ab728,test,4,0,4,0,0,0.7522389143999163,0.08229399376031968,44.90620216640958,0.3680328983990632,0.2602550191330216,0.3717120824679151,0.15050658119551052,0.1097484379375111,0.4245363788360025,0.43646240234375,0.0006855653902195,0.00089014414263,0.0005011845140316,0.000217163341613,False,True,False
NBI,gas_ecb03379390103e6,test,4,0,4,0,0,0.7657244774875483,0.05915237367001535,41.01677525035502,0.27985580045072406,0.2571234242846774,0.46302077526459856,0.16330988134118285,0.09381354294349456,0.38280941074233693,0.375823974609375,0.0003236857437982,0.0006310337051636,0.0004016572685476,0.0003625121566733,False,True,False
NBI,gas_d87a608e680af548,test,4,1,4,0,0,0.43622452107675475,0.050929154339653025,51.10220947204082,0.28805986710743803,0.2520650224686394,0.4598751104239226,0.14640856524894305,0.10565645721969631,0.436593697829436,0.13446044921875,0.0007520296776159,0.0011198454763456,0.0008996437071046,0.0002203456426598,False,True,False
NBI,gas_c525cc5040683ec3,test,4,0,4,0,0,0.6735801206089012,0.0614766551899623,32.53181886451701,0.01776386585058481,0.24322615315869667,0.7390099809907185,0.032446622763969694,0.21077953039472697,0.8808421686193184,0.1115875244140625,0.0003275979669474,0.0005431617889594,0.0002906578177542,0.000138848728464,False,True,False
NBI,gas_2dfbfd0b28aca611,test,4,0,4,0,0,0.6555925815300935,0.03646882817389732,51.965996521968066,0.7540249713489148,0.23881117854087214,0.0071638501102130785,0.23292808588654068,0.005883092654331461,0.024646327745993728,0.3878021240234375,0.0005872911859875,0.0011215208383445,0.0006968317351794,0.0002966460439933,False,True,False
NBI,gas_bb2f30f4f0423c92,test,4,0,4,0,0,0.7172800996358624,0.05861887001940287,43.68452927939976,0.126903889097171,0.23729638619880888,0.6357997247040201,0.13903711131835036,0.0982592748804585,0.41800831514636305,0.2070465087890625,0.0012642014597202,0.0007777838804713,0.000448046235015,0.0002018478927132,False,True,False
NBI,gas_fb1eff37ac372a6b,test,4,0,4,0,0,0.8167871663900966,0.07359924564131362,47.30622636765695,0.007147141157356475,0.22486799065964513,0.7679848681829984,0.03865339413306839,0.18621459652657676,0.8282844945662086,0.4565887451171875,0.0002189451600955,0.0005933282941044,0.000377099696051,9.215911742304151e-05,False,True,False
NBI,gas_cb06954170400105,test,4,0,4,0,0,0.7609845237459699,0.03872516954730462,44.331250002404005,0.35620231419218756,0.21146298163861782,0.4323347041691946,0.1348870024633151,0.0765759791753027,0.3796732340438406,0.5226287841796875,0.0003517036818115,0.0015995609513842,0.0015163624947586,0.0009111031461971,False,True,False
NBI,gas_3926c0b84f0e8ff1,test,4,0,4,0,0,0.8081339200652808,0.057621995224869674,41.48167052556251,0.17244521396543475,0.20366797731451727,0.623886808720048,0.05890576630239534,0.14476221101212192,0.7111915266308442,0.688568115234375,0.0004747690738491,0.0006606852581895,0.0007863433179508,0.0005059094185551,False,True,False
NBI,gas_e583301bb1c36711,test,4,0,4,0,0,0.6192979921788858,0.06316104198731537,65.85224131951612,0.24370010894924526,0.19899084460256145,0.5573090464481933,0.10737388253160154,0.09161696207095991,0.4754424764844315,0.235137939453125,0.0013273315762962,0.0016254195359221,0.0006935804381087,0.0002663936956177,False,True,False
