model,modal,frequency_metric,frequency_group,n,frequency_mean,frequency_min,frequency_max,Dice_mean,Dice_std,IoU_mean,IoU_std,Boundary_IoU_mean,Boundary_IoU_std,HD95_mean,HD95_std,MAE_mean,MAE_std
unet,WL,global_hfr,low,140,3.546965801412887e-05,1.1319274057401438e-05,5.342696948011099e-05,0.7497666545484738,0.18292275784995024,0.6285503781838266,0.20238148517839363,0.15490354302951198,0.09968550144744262,50.627157198104044,37.450074840318564,0.15146854560423106,0.10973834248967036
unet,WL,global_hfr,mid,140,8.785805967194593e-05,5.36937000054508e-05,0.0001337457483662,0.7611846755705843,0.1783085556993957,0.6428776110906611,0.20223906731177416,0.16790780889201778,0.10238190069005722,49.52634191295365,39.66651342415904,0.1297628060116299,0.093291384076123
unet,WL,global_hfr,high,140,0.0003037183335295629,0.0001348511775508,0.001047246355484,0.741834953781738,0.202245663701369,0.6237469142622706,0.21797103580114716,0.1619596739902924,0.11041654511808055,44.81083350898132,39.80072788133293,0.10569993583818096,0.07244216687908936
unet,WL,boundary_hfr,low,140,0.00010819715198826664,1.780291597193157e-05,0.0001832513481694,0.7158055829067381,0.21068821731636656,0.5931750916582145,0.22344239002551253,0.1438884331717937,0.09386517780167962,50.255100256858476,46.04295583463512,0.11680783603473428,0.08485299468918067
unet,WL,boundary_hfr,mid,140,0.000277301540527585,0.0001847266738082,0.0003719047034585,0.7628230987900911,0.15964102444980804,0.6402346857754889,0.18718999493849833,0.15978451578220887,0.10755896046266991,46.23495083738824,28.852440573236223,0.14428597141855526,0.10058613838957607
unet,WL,boundary_hfr,high,140,0.0006171263089964493,0.0003725680495139,0.0018661145214978,0.7741576022039668,0.18586373907798076,0.6617651261030549,0.20524276530195343,0.18109807695781965,0.10777127902103756,48.474281525792286,40.232783039036384,0.12583748000075237,0.09662696444998126
unet,WL,boundary_freq_std,low,140,8.055288227415514e-05,8.446436448026723e-06,0.0001576263829138,0.7066385958516197,0.22445102762228347,0.5858983611108252,0.2334174158377011,0.14278941478108895,0.09600314753665695,49.97805846582875,47.07727247448045,0.11460615747076056,0.08499774759589193
unet,WL,boundary_freq_std,mid,140,0.00024441758139904217,0.0001584167245695,0.0003320746612853,0.7613829472146114,0.15445736895796655,0.637352622375428,0.1850337689065602,0.16529553751814416,0.10489075321603389,46.1651884750284,29.842119633165073,0.12601015864804918,0.0870701231282368
unet,WL,boundary_freq_std,high,140,0.0005466050826107529,0.0003320757883905,0.0021777751058212,0.784764740834565,0.16992444740030102,0.6719239200505052,0.19254599632389827,0.1766860736125891,0.10898805439804148,48.821085679181856,38.27202684848213,0.14631497133523222,0.10827760918936985
unet,WL,boundary_freq_gap,low,140,3.8813587048469436e-05,1.4028904146030363e-06,8.3103348064764e-05,0.7029869988551306,0.21902262003778325,0.5797079241681787,0.2283323772505699,0.1433047898132131,0.09126192747591466,50.98743028298674,46.29346111511431,0.11072510450945365,0.08135630858861466
unet,WL,boundary_freq_gap,mid,140,0.0001472939898516586,8.507596879074982e-05,0.0002430232370848,0.7535100804285102,0.1611863751745175,0.6277363355103286,0.18416419908899953,0.15171426502412938,0.09269724202262136,46.15908626934296,31.48491511781305,0.1298591811110132,0.08122587997071849
unet,WL,boundary_freq_gap,high,140,0.0005234370474232472,0.0002434641502695,0.0020591837383734,0.7962892046171554,0.16733974621061887,0.6877306438582511,0.19395159635076714,0.18975197107447977,0.1205866060374822,47.81781606770931,37.85181942201329,0.14634700183357507,0.11485996710122212
unet,NBI,scale,low,140,0.1358872549874442,0.0240020751953125,0.2228546142578125,0.6638654756386865,0.23279643141675407,0.537527988994479,0.2384553877025836,0.13642695149136985,0.09382186252304166,49.4783017727466,37.37596618522946,0.1262335151833083,0.1344579419005223
unet,NBI,scale,mid,140,0.33434175763811386,0.2239837646484375,0.4582672119140625,0.7997745591258884,0.13056014723199016,0.6837574396962289,0.16366152805151998,0.17228250391140126,0.11595865567391549,44.110767683454796,27.65663517547191,0.15227484911281078,0.11266920802840996
unet,NBI,scale,high,140,0.6640621730259486,0.4597015380859375,0.95233154296875,0.9060609028062884,0.06902540747949772,0.8351057161261533,0.10964674477055927,0.29525261321112434,0.15915909007937185,31.33381814344063,19.62322592351522,0.11801231115657299,0.08211140464171655
unet,NBI,global_hfr,low,140,0.00022450667541446792,4.037960570228595e-05,0.0003517036818115,0.7939820543144042,0.19575519314106166,0.6936537831368207,0.22319798331499524,0.21148387143650327,0.16544156038637892,40.57640648708036,28.019339559258025,0.1379495599041027,0.12005576594114852
