image,modal,model,frequency_metric,frequency_group,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,Dice,IoU,Boundary_IoU,HD95,MAE
gas_a591b1bb4ef6e28f,NBI,unetpp,boundary_hfr,low,0.37158203125,0.0003545902542211,0.0003981505482047,0.0002501621907844,0.0004215177473673,0.9167541008777542,0.8463028584927947,0.2338726192914192,19.03023136964556,0.064831793308258
gas_a639e8fa15e06f79,NBI,unetpp,boundary_hfr,mid,0.637054443359375,0.0008283851863969,0.0007205392476165,0.0003672642231685,0.0003676044609587,0.8909394585834532,0.8033280648913012,0.2422577422577422,47.38143096192854,0.1314373463392257
gas_aa3a46158b3c9006,NBI,unetpp,boundary_hfr,low,0.3642120361328125,0.0001992245720685,0.0003325564061838,0.0003101025242978,0.0001964807996939,0.7743341948533543,0.631766172803286,0.2114872575123621,63.57239780152817,0.2001155912876129
gas_ab6e7663b8eccc33,NBI,unetpp,boundary_hfr,low,0.4918365478515625,0.0003589413345539,0.0005399441812299,0.000469992067294,0.0001765423266596,0.8313062598776885,0.7113123236124177,0.091429432143395,35.64260763162311,0.1957110911607742
gas_ac2ec86224241a0,NBI,unetpp,boundary_hfr,mid,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,0.6521617283636085,0.4838575533040979,0.1342576342576342,136.21507864338798,0.2721022069454193
gas_ad8ff034c42ee285,NBI,unetpp,boundary_hfr,low,0.36651611328125,0.0001942475675632,0.0003025400334605,0.0002349517833952,0.000145786454956,0.7396687570348931,0.5868844092880837,0.0711943793911007,75.88575949107624,0.2581313848495483
gas_adab6609aa0086f3,NBI,unetpp,boundary_hfr,mid,0.3237762451171875,0.0006457960584851,0.0008684894653016,0.0003723013775588,0.0004786976181131,0.8453352815984244,0.7321045392022009,0.1728806907378336,103.75451797391764,0.0970384255051612
gas_adabb41367f870fe,NBI,unetpp,boundary_hfr,high,0.166595458984375,0.0013313970514104,0.0019338919716799,0.0002380990050961,0.0001650240438882,0.5773915471329355,0.405868210588293,0.0558995528035775,73.94521298995964,0.2413305193185806
gas_adbee37f0cbfc251,NBI,unetpp,boundary_hfr,high,0.1212310791015625,0.0008021851134773,0.0009638987312139,0.000527413365571,0.0003080399884747,0.873698017128308,0.7757227017399644,0.2387843704775687,22.633772392344685,0.0326251611113548
gas_aeb2dd9c28f939e4,NBI,unetpp,boundary_hfr,low,0.6201324462890625,0.0001992819385298,0.0002390340334284,0.0001513395407426,4.760487650468093e-05,0.8545982130031315,0.7461121701615331,0.1379863033658749,45.15194254901375,0.2017299085855484
gas_af171fc5e861549f,NBI,unetpp,boundary_hfr,high,0.038970947265625,0.0012601052058224,0.0012868321282667,0.0006077271401111,0.0004206174069071,0.3572929802437999,0.2175025588536335,0.0453296703296703,35.801520796252255,0.0304727368056774
gas_af1a47323452e495,NBI,unetpp,boundary_hfr,high,0.2172698974609375,0.0011859619265646,0.0016710271903785,0.0004997644876252,0.0002775495853077,0.7064122087937011,0.5460875663761147,0.0725773195876288,46.09772228646444,0.1805843412876129
gas_b0ed499dbf9b922a,NBI,unetpp,boundary_hfr,low,0.12689208984375,0.0001505226277862,0.000234574923311,0.0002149456751448,0.0001436580158588,0.7822222222222223,0.6423357664233577,0.1145038167938931,19.81916722044568,0.05078125
gas_b0f0817af1e62c10,NBI,unetpp,boundary_hfr,mid,0.9366607666015624,0.000319960183383,0.000775967288527,0.0008308051687682,0.0013572086499712,0.9749981018081632,0.95121589874918,0.466769112562428,9.0,0.0459382981061935
gas_b1c80f640e65fd80,NBI,unetpp,boundary_hfr,high,0.2649078369140625,0.0014117650923219,0.0011498558564899,0.0005462005490514,0.0010945672883027,0.7775235654800037,0.6360233567899386,0.1861172566371681,41.01767703802893,0.0968989133834838
gas_b247cd6c37d7431a,NBI,unetpp,boundary_hfr,mid,0.5516357421875,0.0003422809057088,0.0008034301124276,0.0004137876106068,0.0001884239348601,0.95051294317759,0.905692868719611,0.3333333333333333,23.706539182259394,0.0556640625
gas_b2c81bd5a9bcb333,NBI,unetpp,boundary_hfr,low,0.082122802734375,0.0002616113169908,0.0005379191010724,0.0004703144472862,0.0001652943170303,0.2609738395026665,0.1500689555055527,0.0,104.66372369276286,0.4667370915412903
gas_b36f0eb24e2379de,NBI,unetpp,boundary_hfr,mid,0.090240478515625,0.0007176469752993,0.0007415805157121,0.0002889153262683,0.0007136492860079,0.9568113689352724,0.9171988080034056,0.5532786885245902,4.242640687119285,0.0077527104876935
gas_b38606820618104d,NBI,unetpp,boundary_hfr,low,0.1110382080078125,0.0004705421218913,0.0005042093713881,0.0003489283112792,0.0001690943368449,0.8757621189405297,0.7789829302987198,0.3366477272727273,13.382773154606154,0.0247728005051612
gas_b3d2a96ff49f00c2,NBI,unetpp,boundary_hfr,high,0.3848114013671875,0.0006743669848699,0.0014485225712223,0.0008367162188647,0.0004392056086019,0.9009999526088812,0.8198361362656318,0.2512040069350799,78.0,0.0832668989896774
gas_b493971ce67e37d3,NBI,unetpp,boundary_hfr,low,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,0.8643327280980481,0.7610791906070448,0.0689851767388825,25.02097486029916,0.0953045263886451
gas_b5a4da474933eb10,NBI,unetpp,boundary_hfr,mid,0.263946533203125,0.0006097700082221,0.000734294831677,0.0006097926421991,0.0004751233453154,0.8997963509413573,0.8178452704744635,0.1409280628529339,10.63014581273465,0.0480508618056774
gas_b5a87023df3cb50b,NBI,unetpp,boundary_hfr,low,0.3117218017578125,0.0002222445831665,0.0002587525952156,0.0001080326854478,0.0002015795567908,0.858051521255168,0.7513924990716673,0.1441105505593332,18.788294228055936,0.0800581946969032
gas_b6771af517066173,NBI,unetpp,boundary_hfr,high,0.1726226806640625,0.0021029673705386,0.0018122121157438,0.0006860869223133,0.0018869286062021,0.7981450811526996,0.6640943666629919,0.1230005515719801,48.93458471531963,0.0607262440025806
gas_b856c8afa6c71b8,NBI,unetpp,boundary_hfr,low,0.04583740234375,0.0003302227772434,0.0004625797150612,0.0002865249070901,7.585018044705723e-05,0.1031778786628146,0.0543951261966927,0.0191489361702127,28.284271247461906,0.0433075577020645
