model,modal,frequency_metric,prediction_metric,spearman,pearson
unetpp,WL,boundary_hfr,MAE,-0.008694819082197549,-0.04216583036206297
unetpp,WL,global_hfr,Boundary_IoU,0.11008660904914834,0.09592939622779201
unetpp,WL,global_hfr,Dice,0.061312143676612293,0.03968949736223091
unetpp,WL,global_hfr,HD95,-0.17193118697001156,-0.11456943428363349
unetpp,WL,global_hfr,IoU,0.061312143676612293,0.06050452002949737
unetpp,WL,global_hfr,MAE,-0.2657479862208496,-0.21084158337883932
unetpp,WL,scale,Boundary_IoU,0.2463393742840108,0.22577688331567106
unetpp,WL,scale,Dice,0.4603132837753278,0.4034463566151513
unetpp,WL,scale,HD95,-0.028258085771339436,-0.1223978305767026
unetpp,WL,scale,IoU,0.4603132837753278,0.4183385250541896
unetpp,WL,scale,MAE,0.4446852720831119,0.45480453700337015
attention_unet,WL,boundary_freq_gap,Boundary_IoU,0.19406551116675538,0.2282822662218072
attention_unet,WL,boundary_freq_gap,Dice,0.2182200432666417,0.16081616539834287
attention_unet,WL,boundary_freq_gap,HD95,-0.012904560761829323,-0.02426914150428214
attention_unet,WL,boundary_freq_gap,IoU,0.2182200432666417,0.1864176077289351
attention_unet,WL,boundary_freq_gap,MAE,0.1453551618277672,0.17811309998450633
attention_unet,WL,boundary_freq_std,Boundary_IoU,0.16606834243464574,0.11401265087509935
attention_unet,WL,boundary_freq_std,Dice,0.168153118999028,0.12978087251629902
attention_unet,WL,boundary_freq_std,HD95,0.01798656571291825,-0.037827647589401825
attention_unet,WL,boundary_freq_std,IoU,0.168153118999028,0.1316606828936296
attention_unet,WL,boundary_freq_std,MAE,0.14254408280256228,0.06871748833412206
attention_unet,WL,boundary_hfr,Boundary_IoU,0.2014813951044572,0.19674273845051934
attention_unet,WL,boundary_hfr,Dice,0.181807167810936,0.16265982227105288
attention_unet,WL,boundary_hfr,HD95,-0.021897195733924468,-0.04842318616953492
attention_unet,WL,boundary_hfr,IoU,0.181807167810936,0.17491928580727212
attention_unet,WL,boundary_hfr,MAE,0.007301549187100576,-0.02799302732026503
attention_unet,WL,global_hfr,Boundary_IoU,0.09007079792579836,0.08606502926414314
attention_unet,WL,global_hfr,Dice,0.05922320878130085,0.059879901925111605
attention_unet,WL,global_hfr,HD95,-0.11458693423835778,-0.02885574826273922
attention_unet,WL,global_hfr,IoU,0.05922320878130085,0.07470137271710098
attention_unet,WL,global_hfr,MAE,-0.23429445953582567,-0.19989613286180047
attention_unet,WL,scale,Boundary_IoU,0.21875570825328391,0.21650690236136394
attention_unet,WL,scale,Dice,0.44089778093698434,0.3733433578160032
attention_unet,WL,scale,HD95,-0.07775633100534612,-0.1569121013535394
attention_unet,WL,scale,IoU,0.44089778093698434,0.3944793205586899
attention_unet,WL,scale,MAE,0.42646300063160963,0.4575511422579709
swin_unet,NBI,boundary_freq_gap,Boundary_IoU,0.2726828522637637,0.2981737064534452
swin_unet,NBI,boundary_freq_gap,Dice,0.2913170061702649,0.22797854838440518
swin_unet,NBI,boundary_freq_gap,HD95,-0.16226971541988572,-0.12017367598832111
swin_unet,NBI,boundary_freq_gap,IoU,0.2913170061702649,0.2534505372078945
