modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,mean_Dice,mean_Boundary_IoU,mean_HD95,max_HD95,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
WL,gas_37253,test,4,0,4,0,0.6429052651949663,0.05398782178354965,62.48257191198516,68.87851617246221,0.826263427734375,2.2414266833192426e-05,0.0002834354229034,0.0003575880061502,0.0005728079426938,False,True,False
WL,gas_32649,test,4,0,4,0,0.6850207813356594,0.05456691181465233,52.63187068174763,66.78436886178896,0.4580230712890625,1.3726746806691315e-05,0.0002648864658884,0.0002407896557032,0.0003074707513614,False,True,False
WL,gas_ebb3196cddd73b79,test,4,1,4,0,0.5446481454226844,0.05539161119873162,62.13731730122317,69.40100405732446,0.1439666748046875,0.0002417453986298,0.0003785539126843,0.0003179704832429,9.131893285033828e-05,False,True,False
WL,gas_194b3005cde83e0e,test,4,1,4,1,0.4455646792361456,0.05956446653074485,112.17594535193177,316.7838379715733,0.0492706298828125,5.5270088788186565e-05,0.0002844228923203,0.0002447948674537,0.0003214574151819,False,True,False
WL,gas_34991,test,4,3,4,0,0.48719128092372305,0.06217502166005648,62.48504371810613,66.1996963163702,0.081695556640625,5.053666289384744e-05,0.0001543029811295,0.0001483020516226,2.2578385284938217e-05,False,True,False
WL,gas_5970bae689dba9d0,test,4,1,4,0,0.5713307219421341,0.06522929905809213,39.97418441071105,49.14005184758191,0.093048095703125,0.0003067661344605,0.001064151716237,0.0014855013326144,0.0003594010972981,False,True,False
WL,gas_35851,test,4,0,4,0,0.7325950101591944,0.06554148251375387,40.65006706153501,48.84823390088528,0.2189788818359375,8.173060701816359e-05,0.0002006972139246,0.0001359938728213,5.541892767331602e-05,False,True,False
WL,gas_8d28577af362e689,test,4,0,4,0,0.8326751849575657,0.06976939979147767,27.774327992641226,43.54529710688373,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,False,True,False
WL,gas_36815,test,4,0,4,0,0.817308956022974,0.07135761012815744,21.457973179948,27.29468812791236,0.2015228271484375,0.0001137784876662,0.0002071624018117,0.0001287032598986,0.0001626739023806,False,True,False
WL,gas_35908,test,4,0,4,0,0.6263686605466985,0.07390466252792904,45.62448754175634,48.30269096250554,0.2126922607421875,6.650916584457119e-05,0.0002325776095932,0.00013148880435,0.0001071087331398,False,True,False
WL,gas_36123,test,4,0,4,1,0.6699984639119376,0.07525986062786252,81.34085062864968,111.46030562302197,0.7473297119140625,2.7489817003318108e-05,0.0002945068072767,0.0003597891532027,0.0003497262173953,False,True,False
WL,gas_35056,test,4,0,4,0,0.8199599088284987,0.0771510542626486,23.561463139774233,26.92582403567252,0.3565521240234375,3.149278061744348e-05,0.0002319277861686,0.000196405956917,0.000149017644697,False,True,False
WL,gas_5ba18fd49a0081de,test,4,0,4,0,0.7238500124737353,0.0807034478536047,39.961389142369676,40.69080480360566,0.2841339111328125,0.0001283816205996,7.188544394373569e-05,5.101455518102641e-05,1.846668896892572e-05,False,True,False
WL,gas_cd452a5ea2593442,test,4,4,3,2,0.08351101634683725,0.04091375376415227,165.4139614817755,316.7838379715733,0.02093505859375,0.0008009157495501,0.0004807860015635,0.0001317773223139,0.0001341314906173,True,False,False
WL,gas_9f473facf6744b3b,test,4,4,2,0,0.2361059684396939,0.0802518706769623,72.21269562552227,86.97700845625813,0.023284912109375,0.0001564543046698,0.0005503007961512,0.0003879406472146,0.0001055685462862,True,False,False
WL,gas_36802,test,4,4,2,4,0.3480905840501119,0.09045785518077801,157.8175714181107,159.76545308670458,0.113555908203125,3.699113804601663e-05,5.926414370827981e-05,7.98511575019837e-05,1.375465338860972e-05,True,False,True
WL,gas_eb89fb15f2135777,test,4,4,0,4,0.4219860245168874,0.20197354087637093,106.69226692186686,110.36392052849558,0.076629638671875,0.000128244811653,0.00023314264097,0.0001539962688334,8.140037080527247e-05,True,False,True
WL,gas_27596,test,4,2,1,4,0.4535026218144116,0.09703955357197068,119.83867736138926,129.03003499033295,0.1181640625,1.7021702830186013e-05,6.378073212988305e-05,7.932143268524788e-05,3.286804388162351e-05,False,False,True
